id,title,city,property,area(m²),rooms,price(TND),longitude,latitude,link
2471,Un appartement a vendre avec une vue panoramique,Khezama Ouest      ,Appartement,125,3,531 000,10.6179,35.7218,https://www.mubawab.tn/fr/a/7822622/un-appartement-a-vendre-avec-une-vue-panoramique
2472,À vendre appart s3 haut standing à el Mourouj 6,El Mourouj 6 à       El Mourouj      ,Appartement,154,3,335 000,10.2622167,36.6938694,https://www.mubawab.tn/fr/a/7844232/%C3%A0-vendre-appart-s3-haut-standing-%C3%A0-el-mourouj-6
2473,A vendre un appartement S3,Sidi Bechir à       Tunis      ,Appartement,120,3,280 000,10.17943,36.792686,https://www.mubawab.tn/fr/a/7841176/a-vendre-un-appartement-s3
2474,Superbe appartement à vendre. Surface totale 78 m². Parabole,Ksibet el-Médiouni      ,Appartement,105,2,150 000,9.537500000000001,33.88689999999999,https://www.mubawab.tn/fr/a/7843564/superbe-appartement-%C3%A0-vendre-surface-totale-78-m%C2%B2-parabole
2475,A Vendre Triplex S3 aux jardins de Carthage,Les Jardins de Carthage à       Le Kram      ,Appartement,392,3,1 380 000,10.316667,36.833333,https://www.mubawab.tn/fr/a/7465903/a-vendre-triplex-s3-aux-jardins-de-carthage
2476,Un appartement S2 vue mer à Khzema,Khezama Ouest      ,Appartement,130,2,310 000,10.6179,35.7218,https://www.mubawab.tn/fr/a/7841274/un-appartement-s2-vue-mer-%C3%A0-khzema
2477,S2 jamais habité En vente,Sahloul à       Sousse Ville      ,Appartement,115,2,335 000,10.5865716,35.8375238,https://www.mubawab.tn/fr/a/7785649/s2-jamais-habit%C3%A9-en-vente
2478,En vente Un coquet S2 a La Corniche,Sousse Corniche      ,Appartement,94,2,340 000,10.6287652450238,35.84022825347934,https://www.mubawab.tn/fr/a/7557660/en-vente-un-coquet-s2-a-la-corniche
2479,Vente appartement à Jaafar Raoued,Jaafar à       Raoued      ,Appartement,111,2,380 000,10.191389,36.954444,https://www.mubawab.tn/fr/a/7842196/vente-appartement-%C3%A0-jaafar-raoued
2480,A Vendre Un Appartement S2 à cité wahat,Aouina à       La Marsa      ,Appartement,116,2,275 000,10.325278,36.876389,https://www.mubawab.tn/fr/a/7842891/a-vendre-un-appartement-s2-%C3%A0-cit%C3%A9-wahat
2481,Immeuble de 3 appartements individuelles,Gammarth Village à       La Marsa      ,Appartement,110,2,590 000,10.325278,36.876389,https://www.mubawab.tn/fr/a/7842681/immeuble-de-3-appartements-individuelles
2482,Appartement en vente à El Mourouj 5. Superficie 60 m². Grand balcon,El Mourouj 5 à       El Mourouj      ,Appartement,60,2,118 000,10.208272509742311,36.71077569750378,https://www.mubawab.tn/fr/a/7842416/appartement-en-vente-%C3%A0-el-mourouj-5-superficie-60-m%C2%B2-grand-balcon
2483,"A Vendre S3 en cours de construction, avec jardin",Cité El Wafa à       Nabeul      ,Appartement,157,3,492 750,10.73505,36.45056,https://www.mubawab.tn/fr/a/7842117/a-vendre-s3-en-cours-de-construction-avec-jardin
2484,Vente appartement la marsa,Bhar Lazreg à       La Marsa      ,Appartement,124,2,305 000,10.325278,36.876389,https://www.mubawab.tn/fr/a/7842099/vente-appartement-la-marsa
2485,Appartement en S1 de 63m² aux Jardins d'él Menzah 2,Les Jardins d'El Menzah 2 à       Ariana Ville      ,Appartement,63,2,250 000,10.19556,36.8625,https://www.mubawab.tn/fr/a/7833255/appartement-en-s1-de-63m%C2%B2-aux-jardins-d-%C3%A9l-menzah-2
